Study unique ID*,Biological material ID* ,Common material name*,Genus,Species,Infraspecific name,Biological material preprocessing,"Material source ID (Holding institute/stock centre, accession)",Material source DOI,Material source latitude,Material source longitude,Material source description
Semicolon-separated list of (internal) study identifiers (cross-referencing to study worksheet) in which the person was involved.,"Code used to identify the biological material in the data file. Should be unique within the Investigation. Can correspond to experimental plant ID, seed lot ID, etc… This material identification is different from a BiosampleID which corresponds to Observation Unit or Samples sections below.","Either a registered or other designation given to the material received, other than the donor’s accession number or collecting number. First letter uppercase. Multiple names are separated by a semicolon without space.","Genus name for the organism under study, according to standard scientific nomenclature.","Species name (formally: specific epithet) for the organism under study, according to standard scientific nomenclature.","Name of any subtaxa level, including variety, crossing name, etc. It can be used to store any additional taxonomic identifier. Either free text description or key-value pair list format (the key is the name of the rank and the value is the value of  the rank). Ranks can be among the following terms: subspecies, cultivar, variety, subvariety, convariety, group, subgroup, hybrid, line, form, subform. For MCPD compliance, the following abbreviations are allowed: ‘subsp.’ (subspecies); ‘convar.’ (convariety); ‘var.’ (variety); ‘f.’ (form); ‘Group’ (cultivar group).","Description of any process or treatment applied uniformly to the biological material, prior to the study itself. Can be provided as free text or as an accession number from a suitable controlled vocabulary.","Institute code, that maintains the observed accession",Digital Object Identifier (DOI) of the material source,Latitude of the material source. [Alternative identifier for in situ material] in decimal format (ISO 6709),Latitude of the material source. [Alternative identifier for in situ material] in decimal format (ISO 6709),Description of the material source
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,A632,,Zea, mays,NA,Inbred Line obtained after 3 selfing generations from USDA accession PI 587140 ,SSA_00001,NA,NA,NA,Inbred Line derived from USDA accession PI 587140 
SSSA_MAIZE_GT,A632_15,,Zea, mays,NA,Inbred Line obtained after 2 selfing generations from USDA accession PI 587140 ,SSA_00001_A,NA,NA,NA,Inbred Line derived from USDA accession PI 587140 
SSSA_MAIZE_GT,A632_18,,Zea, mays,NA,Inbred Line obtained after 2 selfing generations from USDA accession PI 587140 ,SSA_00001_B,NA,NA,NA,Inbred Line derived from USDA accession PI 587140 
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,B73,,Zea, mays,NA,Inbred Line obtained after 3 selfing generations from USDA accession PI 550473,SSA_00002,NA,NA,NA,Inbred Line derived from USDA accession PI 550473
SSSA_MAIZE_GT,B73_15,,Zea, mays,NA,Inbred Line obtained after 2 selfing generations from USDA accession PI 550473,SSA_00002_A,NA,NA,NA,Inbred Line derived from USDA accession PI 550473
SSSA_MAIZE_GT,B73_18,,Zea, mays,NA,Inbred Line obtained after 2 selfing generations from USDA accession PI 550473,SSA_00002_B,NA,NA,NA,Inbred Line derived from USDA accession PI 550473
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,B96,,Zea, mays,NA,Inbred Line obtained after 3 selfing generations from USDA accession PI 270297,SSA_00003,NA,NA,NA,Inbred Line derived from USDA accession PI 270297 
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,CML91,,Zea, mays,NA,Inbred Line obtained after 3 selfing generations from USDA accession PI 690584,SSA_00004,NA,NA,NA,Inbred Line derived from USDA accession PI 690584 
SSSA_MAIZE_GT,CML91_15,,Zea, mays,NA,Inbred Line obtained after 3 selfing generations from USDA accession PI 690584,SSA_00004_A,NA,NA,NA,Inbred Line derived from USDA accession PI 690584 
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,F7,,Zea, mays,NA,Inbred Line obtained after 3 selfing generations from USDA accession PI 257507,SSA_00005,NA,NA,NA,Inbred Line derived from USDA accession PI 257507
SSSA_MAIZE_GT,F7_15,,Zea, mays,NA,Inbred Line obtained after 2 selfing generations from USDA accession PI 257507,SSA_00005_A,NA,NA,NA,Inbred Line derived from USDA accession PI 257507
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,H99,,Zea, mays,NA,Inbred Line obtained after 3 selfing generations from USDA accession PI 587129,SSA_00006,NA,NA,NA,Inbred Line derived from USDA accession PI 587129
SSSA_MAIZE_GT,H99_18,,Zea, mays,NA,Inbred Line obtained after 2 selfing generations from USDA accession PI 587129,SSA_00006_A,NA,NA,NA,Inbred Line derived from USDA accession PI 587129
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,HP301,,Zea, mays,NA,Inbred Line obtained after 3 selfing generations from USDA accession PI 587131,SSA_00007,NA,NA,NA,Inbred Line derived from USDA accession PI 587131 
SSSA_MAIZE_GT,HP301_15,,Zea, mays,NA,Inbred Line obtained after 2 selfing generations from USDA accession PI 587131,SSA_00007-A,NA,NA,NA,Inbred Line derived from USDA accession PI 587131 
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,MO17,,Zea, mays,NA,Inbred Line obtained after 3 selfing generations from USDA accession PI 558532,SSA_00008,NA,NA,NA,Inbred Line derived from USDA accession PI 558532 
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,W153R,,Zea, mays,NA,Inbred Line obtained after 3 selfing generations from USDA accession NSL 30059,SSA_00009,NA,NA,NA,Inbred Line derived from USDA accession NSL 30059
SSSA_MAIZE_GT,W153R_15,,Zea, mays,NA,Inbred Line obtained after 2 selfing generations from USDA accession NSL 30059,SSA_00009_A,NA,NA,NA,Inbred Line derived from USDA accession NSL 30059
SSSA_MAIZE_GT,W153R_18,,Zea, mays,NA,Inbred Line obtained after 2 selfing generations from USDA accession NSL 30059,SSA_00009_B,NA,NA,NA,Inbred Line derived from USDA accession NSL 30059
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20220408,1_89,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00010,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT,3_12,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00011,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,3_56,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00012,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,3_71,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00013,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,3_82,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00014,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,4_36,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00015,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
